Video ID,Title,Description,Channel Title,Publish Date
https://www.youtube.com/channel/UC07J2Vs5OYLgLIQVPB2vwhQ
https://www.youtube.com/channel/UCLqTKWVsRjsOy0I4aunMcFQ
https://www.youtube.com/channel/UC-e70J5nW2EopdLvGeR4-eQ
https://www.youtube.com/channel/UCFXM2q9sQwgs10AgVAgI2pQ
https://www.youtube.com/channel/UCO-Z0CRgX71ppIE5fG3h-BA
https://www.youtube.com/channel/UCBB7w9_7jUuiCr69hlcangw
https://www.youtube.com/channel/UCpxeKxLhvpSFBSQ0t_ryXAQ
https://www.youtube.com/channel/UCgsxOsJ2G77JrgvvUwPUBNQ
https://www.youtube.com/channel/UCHxesL9dMAJOcMzO-HFXFyw
https://www.youtube.com/channel/UCNKWDRJ0EOilNMoPQb2mKcw
https://www.youtube.com/channel/UCzFd5zX1jIpeCo-jB_DY8UA
https://www.youtube.com/channel/UCHK99ZuzHzDgIf5BXgDvBdg",Shemaroo Filmi Gaane,2025-04-09T13:00:12Z
h34dmUw_yCQ,Rekha-Vinod Mehra Romantic Song - Phir Wahi Raat Hai Khwab Ki 4K - Kishore Kumar | Ghar Movie Songs,"Enjoy a relaxed romantic melody 'Phir Wohi Raat Hai Khwab Ki' from the movie 'Ghar(1978)' Starring Rekha & Vinod Mehra; Sung in the vocals of Kishore Kumar.
Music by  R.D. Burman. lyrics penned by Gulzar.

🔸Stay Updated with the latest videos from SuperHit Gaane,
     Subscribe Now : https://bit.ly/3iZ0vcT 

🔸 Song Credits :
      Song : Phir Wohi Raat Hai Khwab Ki
      Movie : Ghar(1978)
      Singer : Kishore Kumar
      Lyricist : Gulzar
      Music Director : R.D. Burman
      Director : Manik Chatterjee
      Star Cast : Rekha, Vinod Mehra

🔸 Lyrics of  Phir Wohi Raat Hai Khwab Ki : 

         Phir wahi raat hain
         Hmm hmm hmm
         Phir wahi raat hain
         Phir wahi raat hain
         Khwaabo ki
         Raat bhar khwaab mein
         Dekha karenge tumhe
         Phir wahi raat hain
         Phir wahi raat hain
         Phir wahi raat hain
         Khwaabo ki
         Raat bhar khwaab mein
         Dekha karenge tumhe
         Phir wahi raat hain

         Masoom si neend
         Mein jb koi sapna chale
         Humko bula lena tum
         Palko ke parde tale
         Yeh raat hain khwaab
         Ki khwaab ki raat hain
         Phir wahi raat hain
         Phir wahi raat hain
         Phir wahi raat hain
         Khwaabo ki

         Kaanch ke khwaab hain
         Aankhon mein chubh jayenge
         Palko mein le na inhe
         Aankho mein rut jayenge
         Yeh raat hain khwaab
         Ki khwaab ki raat hain
         Phir wahi raat hain
         Phir wahi raat hain
         Phir wahi raat hain
         Khwaabo ki
         Raat bhar khwaab mein
         Dekha karenge tumhe
         Phir wahi raat hain
         Raat hain raat hain.

🔸 To See all the Latest Music Playlists that We've Created Just for you, Click here :

► Kishore Kumar Classic Hits Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSkxWY5z9cjS4OT3oZ9D8suk 

► Rekha Songs 4K Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSl3UnQz4E2xP9AQlG4wU9-8

► Hindi Classic Songs 4K Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSmyO3BwOyd3oHslbrPYCEMf

► 70s Romantic Songs 4K Quality Videos Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSke_ckDW9dWbMZDPa6d-lpb

► R. D. Burman Best Classic Songs  Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSnhlfnTNoOaru4C81wWhBqf

► Kishore Kumar 4K Songs Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSnJifCNGbkQMQz6Hp7rkoW1

► Hindi Songs 4K Quality Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSluZfxzE1N4bhK5OKjwdrgX

► Bollywood 4K Romantic Songs Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSl9f03EDMf7q8_gyXjo20uB

► Old Hindi Songs 4K Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSm3r2DaD2aqN5D_0bdtaFmu

#VinodMehra #Rekha #KishoreKumar #superhitgaane #bollywood4ksongs #4ksongs #rekhahitsongs  #RDBurman #vinodmehra #Ghar #BollywoodSongs #LatestSongs #HindiSongs #RomanticSongs #70sHindiSongs #rdburmansong

Phir Wahi Raat Hai Khwab Ki [4K] Video Song : Kishore K | Vinod Mehra, Rekha | Ghar | Romantic Songs",SuperHit Gaane,2023-06-04T11:30:19Z
kkTv_aUjd5Y,"Phulon Ki Duniya Se | Rickshawala (1973) | Randhir Kapoor, Neetu Singh | Kishore Kumar Hit Songs","| 
#KishoreKumar #KishoreDa #KishoreKumarKeGaane #KishoreKumarThe Legend


SUBSCRIBE NOW = https://www.youtube.com/channel/?sub_confirmation=1

Follow us on:

Facebook - Follow us on https://www.facebook.com/ShemarooFilmiGaane/

Twitter - https://twitter.com/FilmiGaane

Instagram - https://www.instagram.com/shemaroofilmigaane/?hl=en Song ▶ Phoolon Ki Duniya Se Taron Ki Duniya Mein
Movie ▶ Rickshawala (1973)
Actor(s) ▶ Randhir Kapoor, Neetu Singh
Singer(s) ▶ Kishore Kumar, Asha Bhosle
Music ▶ R. D. Burman
Lyrics ▶ Anand Bakshi

#KishoreKumarHitSOngs​ #KishoreKumarSongs​ #oldhindisong

Enjoy watching this amazing song in magical voice of music legend Kishore Kumar.  Its melodious composition and meaningful lyrics perfectly uplift this song to a whole new level. Have a great time watching many such other songs of Kishoreda only on ‘Kishore Kumar Hit Songs’.",Kishore Kumar Hit Songs,2022-01-03T06:30:05Z
wKnWL8-6qWA,"Maine Kaha Zid Chhod | Rickshawala (1973) | Randhir Kapoor, Neetu Singh | Lata Mangeshkar Songs","Watch Superhit Romantic Song Maine Kaha Zid Chhod De starring Randhir Kapoor & Neetu Singh from th 1973 movie Rickshawala sung by  Kishore Kumar & Lata Mangeshkar music given by  R. D. Burman.

Maine Kaha Zid Chhod De | Randhir Kapoor | Neetu Singh Song | Rickshawala (1973) | Lata Kishore Hits

Song - Maine Kaha Zid Chhod De
Movie - Rickshawala (1973)
Actor (s) - Randhir Kapoor, Neetu Singh
Singer (s) - Kishore Kumar, Lata Mangeshkar
Music Director: R. D. Burman
Lyricist - Anand Bakshi

#neetusingh #randhirkapoor #latamangeshkar #kishorekumar #romanticsong #romantichindisongs #romantic #hindisong #hindigane #hindiromanticsong #hindilovesongs #oldisgold #oldsong #oldhindisongs #oldlovesongs #lovesong #bollywoodsongs #bollywoodhindisong #bollywoodoldsongs #evergreenhits #evergreensongs #latamangeshkarsongs #kishorekumarsongs #neetusinghsongs #randhirkapoorsongs 

Song Lyrics:
Maine kaha zid chhod de dupatta mod de beshram
maine kaha zid chhod de dupatta mod de beshram
maine kaha zid chhod de tu dil mod de o sanam
maine kaha zid chhod de tu dil mod de o sanam

badle me dupatte ke chala de anguthi de
badle me dupatte ke chala de anguthi de
koi to nishani honi chahiye
mere dil diwane ko logo ko sunane ko
koi to kahani honi chahiye

aisi waisi baato me do hi mulakato me
aisi waisi baato me do hi mulakato me
mai to badnam ho jaungi
thodi si sharafat se thodi si mohabbat
se teri mai gulam ho jaungi

acha to ye wada kar kal aayegi mere ghar
acha to ye wada kar kal aayegi mere ghar
na aayi to yaari tut jayegi
acha kal to aane de aaj to jane de
warna teri pyari ruth jayegi
maine kaha zid chhod de tu dil mod de beshram
maine kaha zid chhod de tu dil mod de beshram

Pls subscribe to our channel: https://www.youtube.com/channel/UC2Gwx9evWGO--MZpjbZbKBw

Follow us on:
Facebook - https://www.facebook.com/ShemarooFilmiGaane/
Twitter - https://twitter.com/FilmiGaane
Instagram - https://www.instagram.com/shemaroofilmigaane/?hl=en",Shemaroo Romantic Songs,2024-12-12T13:30:36Z
lu5MjHcy6Lg,Ek Baat Dil Mein - Lata & Kishore - ᶜᵒᵐᵖᶫᵉᵗᵉ ᴴᴰ Aᵘᵈᶦᵒ ﹠ Vᶦᵈᵉᵒ,ᶜᵒᵐᵖᶫᵉᵗᵉ ᴴᴰ Aᵘᵈᶦᵒ ﹠ Vᶦᵈᵉᵒ,Haroon Barech,2011-05-20T08:35:48Z
XI2P7HgHK9M,Silli Hawa Chhoo Gai, ,obaid khan,2012-04-16T19:16:51Z
aWJc-cT12Mc,"Jahan Pe Savera Ho Basera - Lata Mangeshkar | Baseraa | Shashi Kapoor, Rakhee - Lyrics indonesia","Presenting JAHAN PE SAVERA HO BASERA WAHIN HAI FULL VIDEO SONG from BASERAA movie starring Shashi Kapoor,Rakhee,Rekha,Poonam Dhillon in lead roles, released in 1981. The song is sung by Lata Mangeshkar and music is given by R.D.Burman, music is available exclusively on Gaane Sune Ansune
 
Song: JAHAN PE SAVERA HO BASERA WAHIN HAI
Singer: LATA MANGESHKAR
Music Director: R.D.BURMAN
Lyricist: GULZAR
 
#ShashiKapoor #ShashiKapoorSongs  #GulzarSongs #RakheeSongs  #RekhaSongs #LataMangeshkarSongs #BaseraaSongs #RDBurmanSongs #HDSongs #GaaneSuneAnsune 
 
---------------------------------------------- 
Gaane sune ansune,old hindi songs,jahan pe savera ho basera wahin hai,lata mangeshkar songs,shashi kapoor songs,80s romantic songs,rakhee songs,rekha songs,basera movie songs,r d burman songs,gulzar songs,shashi kapoor hit songs,lata mangeshkar old songs,lata mangeshkar romantic songs


Jahan Pe Savera Ho Basera Wahin Hai | Lata Mangeshkar | Baseraa 1981 Songs | Shashi Kapoor, Rakhee

Jahan Pe Savera
Dimana Ada Pagi


Kabhi pas baitho kisi phul ke pas
Cobalah untuk duduk di dekat bunga kapan-kapan

Sau jag mehakta hai bahut kuchh ye kahta hai
Saat mekar, ia berkata begitu banyak

O kabhi gunguna ke kabhi muskura ke
Terkadang sambil bersenandung, terkadang sambil tersenyum

Kabhi gunguna ke kabhi muskura ke
Terkadang sambil bersenandung, terkadang sambil tersenyum


Kabhi chupke chupke kabhi khil khila ke
Terkadang secara implisit, terkadang secara eksplisit

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku
 
O sabhi chhote chhote shabnam ke katre
Semua tetesan kecil embun itu

Sabhi chhote chhote shabnam ke katre
Semua tetesan kecil embun itu

Dekhe to honge subho sawere
Anda pasti melihatnya di pagi hari

Ye nanhi si aankhe jagi hai pal bhar
Mata mungil ini telah terjaga selama (beberapa) malam

Bahut kuchh hai dil mein bas itna hai lab par
Begitu banyak, di dalam hati ini; tapi hanya sebatas ini di lidah

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku
 
Na mitti na ghara na sona sajana
Bukan pasir atau api, atau emas apa pun

Na mitti na ghara na sona sajana
Bukan pasir atau api, atau emas apa pun

Jahan pyar dekho wahi ghar banana
Di mana Anda melihat cinta, temukan tempat berteduh di sana

Ye dil ki imarat banti hai dil se
Bangunan cinta ini terdiri dari hati

Dilasho ko chhuke ummido se milke
Setelah melalui begitu banyak penghiburan dan harapan

Jahanpe sawera
Dimana ada pagi

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku

Jahanpe sawera ho basera wahin hai
Dimana ada pagi, disitu ada tempat berteduhku",BOLLYWOOD SONGS,2021-08-11T16:47:25Z
UUHuIsaNTpM,Kitne Sapne Kitne Armaan | Mere Jeevan Saathi | Hindi Film Song | Kishore Kumar,"Mere Jeevan Saathi is a 1972 Bollywood romantic comedy, directed by Ravikant Nagaich, and it stars Rajesh Khanna, Tanuja, Sujit Kumar, Bindu, Helen, Utpal Dutt and Rajindranath. The movie was made at the height of Rajesh Khanna's popularity wave and is known for its flamboyant music,dialogue and dress. The combination of R.D. Burman's music and Kishore Kumar's songs sung for Rajesh Khanna contributed to the film's success.Jerry Pinto says of the film that ""Helen's cinematic seniority to the hero, Rajesh Khanna, added an edge to her pursuit of him."" David J. Weiner 
described Mere Jeevan Saathi as ""a bizarre, unclassifiable Indian film with music, fantasy, special effects, violence, and flamboyant mise- en-scene.""


Film :: Mere Jeevan Saathi
Song :: Kitne Sapne Kitne Arman
Singer :: Kishore Kumar
Music Director :: R.D. Burman
Lyricist :: Majrooh Sultanpuri
Mood :: Happy,Love,Affection,Liking
Theme :: Romantic
Featuring Starcast :: Rajesh Khanna, Tanuja

Label : SaReGaMa India Limited
Year : 1972

For More Latest Videos log on & subscribe to our channel
http://www.youtube.com/saregamaindia

For more updates Follow us on Facebook:
http://www.facebook.com/Saregama

Follow us on Twitter:
http://twitter.com/Saregamaindia
Follow us on Twitter:
http://twitter.com/Saregamaindia",Saregama Karaoke,2013-12-02T13:57:04Z
uj5OLjty0l4,Jab Chaha Yaara Tumne - Kishore Kumar - Zabardast 1985,"Artists - Sunny Deol, Rajiv Kapoor, Jaya Prada, Rati Agnihotri",Vijay Pal Singh Rathee,2021-01-25T14:54:32Z
30rLo4X4aI0,"Pyar Jab Na Diya Zindagi Ne Kabhi l Kishore Kumar, Sitamgar (1985)","Song: Pyar Jab Na Diya Zindagi Ne Kabhi
Movie/album: Sitamgar
Singers: Kishore Kumar
Song Lyricists: Majrooh Sultanpuri
Music Composer: Rahul Dev Burman
Music Director: Rahul Dev Burman
Starring: Dharmendra, Rishi Kapoor, Parveen Babi, Poonam Dhillon
Release on: 21st June, 1985",The Memory of Kishore Kumar ,2024-06-10T07:39:44Z
kT3rzroZSlw,PHIRTE HAI KABSE DARBADAR - KISHORE KUMAR - OLD MELODIES HINDI,"SONG - PHIRTE HAI KABSE DARBADAR
SINGER - KISHORE KUMAR
MOVIE - DUNIYA
MUSIC - R.D.BURMAN",Sujay Ghosh,2018-05-19T16:43:47Z
6GSUGstpEwY,Thokar Mein Hai Meri Sara Zamana 4K | Kishore Kumar | Rajesh Khanna | Shehzada Songs,"You just can't miss the magic created in the Superhit Hindi song Thokar Me Hai Meri Sara Zamana - ठोकर में है मेरी सारा जमाना highly romantic Song from the movie Shehzada 1972 sung by #kishorekumar   

Song: Thokar Mein Hai Meri Sara Zamana 
Singer: Kishore Kumar 
Music: R. D Burman
Film: Shehzada 1972

🔸Click & Play Amazing Songs from SuperHit Gaana Playlist :

► Kishore Kumar 4K Songs Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSnJifCNGbkQMQz6Hp7rkoW1

► Lata Mangeshkar 4K Songs Click Below Link :
     https://youtube.com/playlist?list=PLUOEf-vLOCSkQ_KAyU3zGHs0ukxpt28bO

►Classic Songs Click Below Link :
    https://bit.ly/3By9p8B 

►Rajesh Khanna Superhit Classic Songs Click Below Link :
    https://youtube.com/playlist?list=PLUOEf-vLOCSnTfBZ2RjRiJtFx_kPaysU9

🔸Lyrics of Thokar Mein Hai Meri Sara Zamana - 

thokar me hai meri sara zamana
baharo se puchho meri kahani
nazaro se puchho mera fasana
nazaro se puchho mera fasana, fasana
thokar me hai meri sara zamana
baharo se puchho meri kahani
nazaro se puchho mera fasana
nazaro se puchho mera fasana, fasana
thokar me hai meri sara zamana
thokar me hai meri sara zamana

humne duniya me aake bas do hi to kam kiye
humne duniya me aake bas do hi to kam kiye
yaar se to yari nibhayi badle dushman se khoob liye
seekha hai humne jalke jalana
seekha hai humne jalke jalana, jalana
thokar me hai meri sara zamana
baharo se puchho meri kahani
nazaro se puchho mera fasana
nazaro se puchho mera fasana, fasana
thokar me hai meri sara zamana
thokar me hai meri sara zamana

sabki sun li lekin kiya wahi jo man me aaya
sabki sun li lekin kiya wahi jo man me aaya
phoolon se bachkar nikle aur kanton ko gale lagaya
isiliye duniya ne shehjada mana
isiliye duniya ne shehjada mana
thokar me hai meri sara zamana
baharo se puchho meri kahani
nazaro se puchho mera fasana
nazaro se puchho mera fasana, fasana
thokar me hai meri sara zamana
thokar me hai meri sara zamana

#kishorekumar #superhitgaane #latamangeshkar #bollywood4ksongs #4ksongs #AnandBakshi #rajeshkhanna #RDBurman #gaanenayepurane  #BollywoodSongs #LatestSongs #HindiSongs #RomanticSongs #70sHindiSongs  #rdburmansong #deewar #amitabhbachchan #shashikapoor #neetusinghsongs #rajendrakumarsongs #kishorekumar #kishorekumarsongs #kishoreda #kishore #kishorekumarsong #latamangeshkar #latam #latamangeshkarsongs #latam #latarafi #lata_mangeshkar",SuperHit Gaane,2023-09-11T09:30:01Z
W29sLG5YEEU,Gumsum Kyun Hai Sanam - Asha Bhosle | Bhala Manas (1979) | Randhir Kapoor | Neetu Singh,"Song: Gumsum Kyu Hai Sanam
Movie: Bhala Manas (1976)
Singer: Asha Bhosle
Music By: R D Burman
Lyricist: Gulshan Bawra
--------
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 : NH Studioz 👉 https://www.youtube.com/c/nhstudioztv  
----
The Highest Watched Songs:
1. https://youtu.be/kVmn5whuGYo
2. https://youtu.be/-YdrOJnekSM
3. https://youtu.be/RXKodbEgRyc
4. https://youtu.be/ZmreKpW96So
5. https://youtu.be/2-LlP9Z00e0
----
Alka Yagnik Superhit Songs: https://www.youtube.com/playlist?list=PLUh8_RKqtM8UbdeGCA4CiAxVYnhByaJbn
Kumar Sanu Romantic Song Collection: https://www.youtube.com/playlist?list=PLUh8_RKqtM8UwIvjEuSSCU7cGAZJE0m_c
Udit Narayan Songs: https://www.youtube.com/playlist?list=PLUh8_RKqtM8Wbg0r7qZsBxpJpoGPXIRDr
------------
NH Hindi Songs 👉 https://www.youtube.com/@nhhindisongs
NH Bollywood Songs 👉https://www.youtube.com/@nhbollywoodsongs
-------
NH Movies👉  https://www.youtube.com/@nhmovies
NH Comedy Duniya 👉https://www.youtube.com/@nhcomedyduniya
NH Marathi 👉 https://www.youtube.com/@NHMarathi
NH Tamil 👉 https://www.youtube.com/@nhtamil
-------
Facebook 👉 https://www.facebook.com/nhstudioz.tv
Instagram 👉 https://www.instagram.com/nh_studioz
Twitter 👉 https://twitter.com/nh_studioz
-------
#randhirkapoor #neetusingh #ashabhosle #rdburman #hindisongs #oldhindisongs #evergreenhits #classichits #bollywood #bollywoodsongs #nhmusic",NH Music Shorts,2024-12-13T09:45:02Z
CuX6iBnHCog,"जान पहचान तो पहले से थी | Bhala Manus (1979) | Asha Bhosle, Kishore Kumar | Hindi Songs","Song : Jaan Pehchaan To Pahle Se Thi
Movie : Bhala Manus (1979)
Singer : Asha Bhosle, Kishore Kumar
Music: R D Burman
Lyricist: Gulshan Bawra
---------
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 : NH Studioz 👉 https://www.youtube.com/c/nhstudioztv  
----
The Highest Watched Songs:
1. https://youtu.be/kVmn5whuGYo
2. https://youtu.be/-YdrOJnekSM
3. https://youtu.be/RXKodbEgRyc
4. https://youtu.be/ZmreKpW96So
5. https://youtu.be/2-LlP9Z00e0
----
Alka Yagnik Superhit Songs: https://www.youtube.com/playlist?list=PLUh8_RKqtM8UbdeGCA4CiAxVYnhByaJbn
Kumar Sanu Romantic Song Collection: https://www.youtube.com/playlist?list=PLUh8_RKqtM8UwIvjEuSSCU7cGAZJE0m_c
Udit Narayan Songs: https://www.youtube.com/playlist?list=PLUh8_RKqtM8Wbg0r7qZsBxpJpoGPXIRDr
------------
NH Hindi Songs 👉 https://www.youtube.com/@nhhindisongs
NH Bollywood Songs 👉https://www.youtube.com/@nhbollywoodsongs
-------
NH Movies👉  https://www.youtube.com/@nhmovies
NH Comedy Duniya 👉https://www.youtube.com/@nhcomedyduniya
NH Marathi 👉 https://www.youtube.com/@NHMarathi
NH Tamil 👉 https://www.youtube.com/@nhtamil
-------
Facebook 👉 https://www.facebook.com/nhstudioz.tv
Instagram 👉 https://www.instagram.com/nh_studioz
Twitter 👉 https://twitter.com/nh_studioz
-------
#randhirkapoor #neetusingh #ashabhosle #kishorekumar #rdburmanhits #hindisongs #oldhindisongs #bollywoodclassic #bollywoodsongs #hindigane #romanticsong #nhmusic",NH Music Shorts,2024-12-16T09:57:00Z
4yUauK-So28,"Yeh Zindagi Kuch Bhi Sahi | 🎧320kbps HQ audio | R.D. Burman | Romance | Kumar Gaurav, Poonam Dhillon","Movie : Romance(1983)
Singer : R. D. BURMAN
Music Director : R. D. BURMAN
Cast : Kumar Gaurav, Poonam Dhillon, Shammi Kapoor

320 kbps songs in high quality .
All copyright claim goes to original sources.
Thank you.
DISCLAIMER: This Following Audio/Video is Strictly meant for Promotional Purpose. We Do Not Wish to make any Commercial Use of this & Intended to Showcase the Creativity Of the Artist Involved.*

The original Copyright(s) is (are) Solely owned by the Companies/Original-Artist(s)/Record-label(s).All the contents are intended to Showcase the creativity of the artists involved and are strictly done for promotional purpose.

*DISCLAIMER: As per 3rd Section of Fair use guidelines Borrowing small bits of material from an original work is more likely to be considered fair use. Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for fair use.

🎧 Use headphone for best experience Subscribe Now for more videos
please Like, Share, Comment and Subscribe!!!

#soulofsound #hqaudio #320kbpssongs #hqsounds #320kbps #4k #4kanimation #4kvideo #darusong #jhankarbeats #jhankarbeatssongs #rainsongs #lovesongs #lovehitsong #couplesong #longdrivesong #longdrive #romantichits #romanticsong #alonesongs #alonesadsong #90severgreen #90shindisongs #90sromanticsongs #90s_evergreen #90shithindisongs #90shits #90shindisongs #ishtarmusic #enjoysong #sadromanticsongs #loveromanticsong #hindiromanticsong #trending #lovecouplevideo #2000ssong #2000s #2000sthrowbacks #bollywoodsongs #bollywood #alkayagnik #uditnarayan #romanticsong  #evergreensong  #topsong  #latesthindisong #darusong #nightsong #hotsong #kumarsanu #sonunigam #abhijeet_bhattacharya_songs #rdburmansongs #rdburman #rdburmansong #rdburmanhits #rdburmanmusic #rdburmanhitsongs #romancemovie #romance #romancesong #yehzindagi #yezindagi #yehzindagikuchbhisahi #kumargaurav #poonamdhillon",Soul of Sound,2023-10-26T06:37:03Z
YQNb89xnKvQ,Tum Bin Jaoon Kahan(Kishore Kumar) Revival Audio,Presenting Tum Bin Jaoon Kahan(Kishore Kumar) in Revival Audio from Movie Pyar Ka Mausam.If you like this video please like share and subscribe and do press bell icon for notification of my videos in future.,Old Vintage N Revival Songs,2021-09-06T16:15:01Z
LblLAQQV6ko,Na Koi Dil Mein Samaya | Kishore Kumar | Aa Gale Lag Jaa 1973 | Shashi Kapoor,"Movie:- Aa Gale Lag Jaa (1973)
Starcast:- Shashi Kapoor, Sharmila Tagore, Shatrughan Sinha, Om Prakash, Sulochana Latkar
Song:- Na Koi Dil Mein Samaya
Singer(s):- Kishore Kumar
Lyricist:- Sahir Ludhianvi
Music Director:- R.D.Burman

